id,director
1126,Raymond De Felitta
1127,Drew Barrymore
1128,Ricky Gervais
1129,Ruben Fleischer
1130,Stewart Hendler
1131,Lone Scherfig
1132,Peter Billingsley
1133,Phil Traill
1134,Natalie Portman
1135,Kevin Greutert
1136,Troy Duffy
1137,David Bowers
1138,Aaron Norris
1139,Olatunde Osunsanmi
1140,Lee Daniels
1141,Oren Moverman
1142,Jorge Blanco
1143,Scott Cooper
1144,Michael Spierig
1145,Scott Stewart
1146,Tom Vaughan
1147,Glenn Ficarra
1148,Andrea Arnold
1149,Bob Gosse
1150,Alejandro Amenábar
1151,Breck Eisner
1152,Anthony Mann
1153,Jim Field Smith
1154,Daniel Barber
1155,Allen Coulter
1156,Miguel Sapochnik
1157,Agnieszka Wojtowicz-Vosloo
1158,Floria Sigismondi
1159,Michael J. Bassett
1160,Jorma Taccone
1161,Samuel Bayer
1162,Derek Cianfrance
1163,Alan Poul
1164,Lisa Cholodenko
1165,Victor Saville
1166,Susanna White
1167,Derrick Borte
1168,Anton Corbijn
1169,Josh Gordon
1170,Nanette Burstein
1171,Brad Peyton
1172,Ryan Fleck
1173,Greg Berlanti
1174,Tony Goldwyn
1175,George Hickenlooper
1176,William Monahan
1177,Daniel Barnz
1178,Stuart Beattie
1179,Richard J. Lewis
1180,John Wells
1181,John Cameron Mitchell
1182,Steve Antin
1183,Eli Craig
1184,Massy Tadjedin
1185,Sngmoo Lee
1186,Brad Furman
1187,Shana Feste
1188,Alister Grierson
1189,Michael Dowse
1190,George Nolfi
1191,John H. Lee
1192,Jonathan Liebesman
1193,Tom McCarthy
1194,Jason Winer
1195,Paul Johansson
1196,Francis Lawrence
1197,Paul Feig
1198,Christian E. Christiansen
1199,Joe Cornish
1200,Dan Rush
1201,Mike Mills
1202,J.J. Abrams
1203,Tom Hanks
1204,John Luessenhop
1205,Thomas Bezucha
1206,Nicolas Winding Refn
1207,John Michael McDonagh
1208,Stephen Anderson
1209,Ben Gluck
1210,Jesse Peretz
1211,Andy de Emmony
1212,Tate Taylor
1213,Kevin Tancharoen
1214,Steven Quale
1215,Todd Strauss-Schulson
1216,Troy Nixey
1217,Gary McKendry
1218,Michel Hazanavicius
1219,Jeff Nichols
1220,Matthijs van Heijningen Jr.
1221,Lynne Ramsay
1222,J.C. Chandor
1223,Paolo Sorrentino
1224,Steve McQueen
1225,Mark Mylod
1226,Michael Brandt
1227,Mike Gunther
1228,James Bobin
1229,Simon Curtis
1230,William Dear
1231,Ralph Fiennes
1232,Chris Gorak
1233,Rodrigo García
1234,Baltasar Kormákur
1235,Phyllida Lloyd
1236,Måns Mårlind
1237,Asger Leth
1238,Gonzalo López-Gallego
1239,Anthony Hemingway
1240,Julie Anne Robinson
1241,Josh Trank
1242,James Watkins
1243,Daniel Espinosa
1244,Michael Sucsy
1245,Nima Nourizadeh
1246,Kyle Balda
1247,Mike McCoy
1248,Phil Lord
1249,Jay Duplass
1250,Stephen St. Leger
1251,Julian Gilbey
1252,Timo Vuorensola
1253,Drew Goddard
1254,Ben Sombogaart
1255,Salim Akil
1256,Peter Lord
1257,Stephan Elliott
1258,Richard A. Colla
1259,Nick Ormerod
1260,Noel Clarke
1261,Dean Wright
1262,Lorene Scafaria
1263,Alex Kurtzman
1264,Akiva Schaffer
1265,Julie Delpy
1266,Sam Fell
1267,John Gulager
1268,Ole Bornedal
1269,Todd Lincoln 
1270,Leslye Headland
1271,Brian Klugman
1272,Jason Moore
1273,Mabrouk El Mechri
1274,Jake Schreier
1275,Nicholas Jarecki
1276,Stephen Chbosky
1277,Rodrigo Cortés
1278,Mark Tonderai
1279,Dan Cutforth
1280,Genndy Tartakovsky
1281,Mike Disa
1282,RZA
1283,Dan Bradley
1284,Scott Speer
1285,David Barrett
1286,Juan Antonio Bayona
1287,Dustin Hoffman
1288,Max Giwa
1289,Nick Love
1290,Ariel Vromen
1291,Andy Muschietti
1292,Allen Hughes
1293,Tommy Wirkola
1294,Shim Hyung-Rae
1295,Zal Batmanglij
1296,Juan Diego Solanas
1297,Jon Lucas
1298,John Hyams
1299,Callan Brunker
1300,Ric Roman Waugh
1301,Ed Gass-Donnelly
1302,Park Chan-wook
